price,Locality,Area,Possession Status,Furnishing Status,Number of Rooms,Number of Bathroom,Number of Parking,View /Facing,Floor No.,Additional Rooms,Age of Property (Years),Total Floor Count,clustering
35.18,Velmala,1100.0,Under Construction,Unfurnished,2,2,1,East,1.0,Pooja Room,0-1,9.0,premium
140.0,Hafeezpet,2237.1499999999996,Ready To Move,Semi-Furnished,3,2,1,East,8.0,"Pooja Room,Extra Room",2-4,10.0,high
69.0,Bachupally,1150.0,Ready To Move,Semi-Furnished,2,2,2,East,5.0,Study Room,2-4,9.0,premium
34.35,Kollur,1145.0,Under Construction,Unfurnished,2,2,1,East,6.0,Extra Room,0-1,9.0,premium
71.0,Pragathi Nagar,1265.0,Under Construction,Unfurnished,2,2,1,East,3.0,Extra Room,0-1,5.0,premium
39.15,Bacharam,1450.0,Under Construction,Unfurnished,3,2,2,East,3.0,Pooja Room,2-4,5.0,low
68.0,Masab Tank,1450.0,Ready To Move,Unfurnished,3,2,1,East,1.0,Servant Room,2-4,5.0,low
29.0,Boduppal,701.0,Ready To Move,Furnished,2,2,2,North,3.0,Extra Room,10+,4.0,premium
130.0,Kukatpally,1090.0,Ready To Move,Semi-Furnished,2,2,1,West,7.0,"Pooja Room,Study Room",2-4,20.0,premium
105.0,Suchitra Road,1748.0,Ready To Move,Furnished,3,3,2,West,2.0,"Pooja Room,Study Room",2-4,6.0,low
140.0,Shaikpet,2237.1499999999996,Ready To Move,Unfurnished,4,4,3,West,3.0,"Pooja Room,Study Room",0-1,20.0,high
65.0,Boduppal,1500.0,Ready To Move,Furnished,2,2,2,East,1.0,Pooja Room,0-1,4.0,low
61.0,Kompalli,1220.0,Ready To Move,Unfurnished,2,2,3,West,3.0,Pooja Room,0-1,5.0,premium
102.0,Bachupally,1940.0,Ready To Move,Unfurnished,3,3,2,West,3.0,Pooja Room,0-1,10.0,high
42.51,Nagaram,1215.0,Under Construction,Unfurnished,2,2,1,East,2.0,Extra Room,0-1,5.0,premium
57.38,Bachupally,1221.0,Ready To Move,Unfurnished,2,2,1,East,3.0,Pooja Room,0-1,6.0,premium
